image_id,path,true_label,predicted_label,correct,confidence,true_label_probability,top1_label,top1_probability,top2_label,top2_probability,top3_label,top3_probability
img_009734,data/garbage-classification-v2/standardized_256/plastic/plastic_437.jpg,plastic,cardboard,False,0.8340883255,0.0866016969,cardboard,0.8340883255,plastic,0.0866016969,metal,0.0275280122
img_005534,data/garbage-classification-v2/standardized_256/glass/glass_1697.jpg,glass,plastic,False,0.8252241611,0.0841253474,plastic,0.8252241611,glass,0.0841253474,trash,0.0356337801
img_000081,data/garbage-classification-v2/standardized_256/battery/battery_171.jpg,battery,glass,False,0.8221212626,0.0047993297,glass,0.8221212626,metal,0.0672874302,shoes,0.0311313346
img_003006,data/garbage-classification-v2/standardized_256/clothes/clothes_1123.jpg,clothes,metal,False,0.8214260936,0.0082376972,metal,0.8214260936,battery,0.0541064963,paper,0.0453361645
img_012201,data/garbage-classification-v2/standardized_256/trash/trash_46.jpg,trash,metal,False,0.8195210099,0.0478519537,metal,0.8195210099,trash,0.0478519537,glass,0.0462426357
img_000105,data/garbage-classification-v2/standardized_256/battery/battery_193.jpg,battery,glass,False,0.8180180192,0.0663018897,glass,0.8180180192,battery,0.0663018897,plastic,0.0568008199
img_000644,data/garbage-classification-v2/standardized_256/battery/battery_679.jpg,battery,cardboard,False,0.8156147003,0.0299788453,cardboard,0.8156147003,plastic,0.0651132837,trash,0.0375805311
img_010600,data/garbage-classification-v2/standardized_256/shoes/shoes_1216.jpg,shoes,biological,False,0.8144742846,0.1045163572,biological,0.8144742846,shoes,0.1045163572,glass,0.0382629037
img_002340,data/garbage-classification-v2/standardized_256/cardboard/cardboard_524.jpg,cardboard,plastic,False,0.8108527064,0.1120508313,plastic,0.8108527064,cardboard,0.1120508313,battery,0.0370156541
img_006247,data/garbage-classification-v2/standardized_256/glass/glass_776.jpg,glass,shoes,False,0.8105509281,0.024904931,shoes,0.8105509281,paper,0.0594808906,glass,0.024904931
img_009279,data/garbage-classification-v2/standardized_256/plastic/plastic_1465.jpg,plastic,glass,False,0.8082278967,0.1466179192,glass,0.8082278967,plastic,0.1466179192,trash,0.0155512337
img_005032,data/garbage-classification-v2/standardized_256/glass/glass_1244.jpg,glass,shoes,False,0.8067554832,0.050047081,shoes,0.8067554832,cardboard,0.0523054078,glass,0.050047081
img_001769,data/garbage-classification-v2/standardized_256/cardboard/cardboard_1280.jpg,cardboard,plastic,False,0.804667294,0.0469057299,plastic,0.804667294,glass,0.073885113,cardboard,0.0469057299
img_001381,data/garbage-classification-v2/standardized_256/biological/biological_661.jpg,biological,glass,False,0.7989562154,0.0742362812,glass,0.7989562154,shoes,0.0847756639,biological,0.0742362812
img_007711,data/garbage-classification-v2/standardized_256/paper/paper_1256.jpg,paper,clothes,False,0.7956361771,0.0945628732,clothes,0.7956361771,paper,0.0945628732,plastic,0.0453951769
img_009290,data/garbage-classification-v2/standardized_256/plastic/plastic_1475.jpg,plastic,glass,False,0.7944528461,0.0660280585,glass,0.7944528461,plastic,0.0660280585,metal,0.0654009357
img_009355,data/garbage-classification-v2/standardized_256/plastic/plastic_1533.jpg,plastic,cardboard,False,0.7858241796,0.0632765666,cardboard,0.7858241796,plastic,0.0632765666,trash,0.0621076599
img_008929,data/garbage-classification-v2/standardized_256/plastic/plastic_115.jpg,plastic,paper,False,0.7744449973,0.123449631,paper,0.7744449973,plastic,0.123449631,cardboard,0.0476592146
img_009773,data/garbage-classification-v2/standardized_256/plastic/plastic_472.jpg,plastic,glass,False,0.7734171152,0.092665717,glass,0.7734171152,plastic,0.092665717,metal,0.0426450521
img_008321,data/garbage-classification-v2/standardized_256/paper/paper_602.jpg,paper,shoes,False,0.770355463,0.0760181248,shoes,0.770355463,paper,0.0760181248,metal,0.0493425839
img_006731,data/garbage-classification-v2/standardized_256/metal/metal_311.jpg,metal,battery,False,0.7693215013,0.0655065477,battery,0.7693215013,shoes,0.1122418493,metal,0.0655065477
img_009601,data/garbage-classification-v2/standardized_256/plastic/plastic_317.jpg,plastic,paper,False,0.7669841051,0.0832883492,paper,0.7669841051,plastic,0.0832883492,cardboard,0.0487494431
